Sample,Well,Signal,Mean,CV,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
U001,A05,4195,4428,7.44154833,335.5175194,349.9100519,5.816956229
U001,B05,4661,4428,7.44154833,364.3025843,349.9100519,5.816956229
U002,C05,6151,6153,0.034478998,452.6729507,452.7595571,0.027051867
U002,D05,6154,6153,0.034478998,452.8461635,452.7595571,0.027051867
U003,E05,8706,9253,8.360259577,595.1458527,624.4324779,6.632829651
U003,F05,9800,9253,8.360259577,653.7191031,624.4324779,6.632829651
U004,G05,8066,8731,10.76393004,560.2871992,596.2299823,8.525363188
U004,H05,9395,8731,10.76393004,632.1727655,596.2299823,8.525363188
U005,A06,7610,7992,6.75120408,535.1452638,556.1065795,5.330592752
U005,B06,8373,7992,6.75120408,577.0678953,556.1065795,5.330592752
U006,C06,6150,3105,138.6885764,452.6152094,227.4277309,140.0283004
U006,D06,60,3105,138.6885764,2.240252292,227.4277309,140.0283004
U007,E06,12998,13512,5.374670942,819.3408588,845.2652195,4.337405788
U007,F06,14025,13512,5.374670942,871.1895803,845.2652195,4.337405788
U008,G06,3419,3156,11.80938912,285.9860942,268.4609318,9.232003381
U008,H06,2892,3156,11.80938912,250.9357695,268.4609318,9.232003381
U009,A07,6236,6384,3.278565276,457.5742353,466.0578712,2.574288234
U009,B07,6532,6384,3.278565276,474.5415071,466.0578712,2.574288234
U010,C07,7485,7589,1.928854236,528.2053323,533.9458529,1.520439198
U010,D07,7692,7589,1.928854236,539.6863734,533.9458529,1.520439198
U011,E07,5025,5446,10.93249926,386.3665626,411.2824208,8.5674327
U011,F07,5867,5446,10.93249926,436.198279,411.2824208,8.5674327
U012,G07,5569,5521,1.229528183,418.7391626,415.9070792,0.962996519
U012,H07,5473,5521,1.229528183,413.0749958,415.9070792,0.962996519
